,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,14.556 23.201 40.131 49.708,0,0,0,0,1.614 109.874 190.249 479.128,0,0,14.667 19.040 23.980 38.352,0,0,0,1537,True,20.01272097486071,0.6866629464285714,57.44990091338455,0.7,12.0,0.4065934065934065,120.0,31.550310731677076,0.609375,0.8035714285714286,0.4129464285714286,0.45,
1,14.556 23.201 40.131 49.708,0,0,0,0,7.673 13.647 115.585 1071.491,0,0,15.342 18.771 22.809 29.089,0,0,0,2185,True,19.04222214931495,0.703125,57.44990091338455,0.6916666666666667,12.0,0.38943894389438943,120.0,51.25600852076998,0.609375,0.7857142857142857,0.3950892857142856,0.05,
2,14.556 23.201 40.131 49.708,0,0,0,0,7.673 13.647 115.585 1071.491,0,0,15.342 18.771 22.809 29.089,0,0,0,2185,True,19.04222214931495,0.703125,57.44990091338455,0.6916666666666667,12.0,0.38943894389438943,120.0,51.25600852076998,0.609375,0.7857142857142857,0.3950892857142856,0.05,
3,14.556 23.201 40.131 49.708,0,0,0,0,7.673 13.647 115.585 1071.491,0,0,15.342 18.771 22.809 29.089,0,0,0,2185,True,19.04222214931495,0.703125,57.44990091338455,0.6916666666666667,12.0,0.38943894389438943,120.0,51.25600852076998,0.609375,0.7857142857142857,0.3950892857142856,0.05,
4,14.556 23.201 40.131 49.708,0,0,0,0,3.964 79.897 368.514 1075.000,0,0,19.040 21.857 22.911 28.121,0,0,0,2183,True,18.841392713233112,0.6837332589285714,57.44990091338455,0.6833333333333333,12.0,0.36946902654867264,120.0,56.67014725353458,0.640625,0.7321428571428571,0.3727678571428572,0.0,
5,14.556 23.201 40.131 49.708,0,0,0,0,8.304 299.180 311.206 1502.468,0,0,19.040 22.376 23.047 32.220,0,0,0,1849,True,19.796418892309234,0.6743861607142858,57.44990091338455,0.675,12.0,0.35359116022099457,120.0,35.1538618200332,0.625,0.7321428571428571,0.3571428571428572,0.25,
6,14.556 23.201 40.131 49.708,0,0,0,0,8.304 299.180 311.206 1502.468,0,0,19.040 22.376 23.047 32.220,0,0,0,1849,True,19.796418892309234,0.6743861607142858,57.44990091338455,0.675,12.0,0.35359116022099457,120.0,35.1538618200332,0.625,0.7321428571428571,0.3571428571428572,0.25,
7,14.556 23.201 40.131 49.708,0,0,0,0,8.304 299.180 311.206 1502.468,0,0,19.040 22.376 23.047 32.220,0,0,0,1849,True,19.796418892309234,0.6743861607142858,57.44990091338455,0.675,12.0,0.35359116022099457,120.0,35.1538618200332,0.625,0.7321428571428571,0.3571428571428572,0.25,
8,14.556 23.201 40.131 49.708,0,0,0,0,8.304 299.180 311.206 1502.468,0,0,19.040 22.376 23.047 32.220,0,0,0,1849,True,19.796418892309234,0.6743861607142858,57.44990091338455,0.675,12.0,0.35359116022099457,120.0,35.1538618200332,0.625,0.7321428571428571,0.3571428571428572,0.25,
9,14.556 23.201 40.131 49.708,0,0,0,0,8.304 299.180 311.206 1502.468,0,0,19.040 22.376 23.047 32.220,0,0,0,1849,True,19.796418892309234,0.6743861607142858,57.44990091338455,0.675,12.0,0.35359116022099457,120.0,35.1538618200332,0.625,0.7321428571428571,0.3571428571428572,0.25,
