,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,14.162 15.888 26.406 52.162,0,0,0,0,3.000 5.625 377.219 1075.000,0,0,19.040 19.040 23.980 38.352,0,0,0,1537,True,20.01272097486071,0.6866629464285714,57.44990091338455,0.7,12.0,0.4065934065934065,120.0,31.550310731677076,0.609375,0.8035714285714286,0.4129464285714286,0.45,
1,14.162 15.888 26.406 52.162,0,0,0,0,3.000 5.625 377.219 1075.000,0,0,19.040 19.040 23.980 38.352,0,0,0,1537,True,20.01272097486071,0.6866629464285714,57.44990091338455,0.7,12.0,0.4065934065934065,120.0,31.550310731677076,0.609375,0.8035714285714286,0.4129464285714286,0.45,
2,14.162 15.888 26.406 52.162,0,0,0,0,3.000 5.625 377.219 1075.000,0,0,19.040 19.040 23.980 38.352,0,0,0,1537,True,20.01272097486071,0.6866629464285714,57.44990091338455,0.7,12.0,0.4065934065934065,120.0,31.550310731677076,0.609375,0.8035714285714286,0.4129464285714286,0.45,
3,14.162 15.888 26.406 52.162,0,0,0,0,7.770 7.890 693.904 982.028,0,0,9.968 13.657 24.307 32.220,0.200 0.880 45.960 85.430,0,0,1596,True,30.150408794084267,0.6615513392857143,76.59986788451273,0.6916666666666667,16.0,0.39476553980370777,120.0,35.3596840321443,0.546875,0.8571428571428571,0.4040178571428572,0.4,
4,14.162 15.888 26.406 52.162,0,0,0,0,7.770 7.890 693.904 982.028,0,0,9.968 13.657 24.307 32.220,0.200 0.880 45.960 85.430,0,0,1596,True,30.150408794084267,0.6615513392857143,76.59986788451273,0.6916666666666667,16.0,0.39476553980370777,120.0,35.3596840321443,0.546875,0.8571428571428571,0.4040178571428572,0.4,
5,14.162 15.888 26.406 52.162,0,0,0,0,7.770 7.890 693.904 982.028,0,0,9.968 13.657 24.307 32.220,0,0,0,1173,True,19.643184926360377,0.673828125,57.44990091338455,0.6833333333333333,12.0,0.3804347826086956,120.0,37.953110441599854,0.515625,0.875,0.390625,0.35000000000000003,
6,14.162 15.888 26.406 52.162,0,0,0,0,7.770 7.890 693.904 982.028,0,0,9.968 13.657 24.307 32.220,0,0,0,1173,True,19.643184926360377,0.673828125,57.44990091338455,0.6833333333333333,12.0,0.3804347826086956,120.0,37.953110441599854,0.515625,0.875,0.390625,0.35000000000000003,
7,14.162 15.888 26.406 52.162,0,0,0,0,5.979 7.323 908.859 977.459,0,0,19.040 19.040 24.182 29.904,0,0,0,1638,True,19.356731240583226,0.6768973214285715,57.44990091338455,0.6833333333333333,12.0,0.3777292576419214,120.0,43.79756862259829,0.546875,0.8392857142857143,0.3861607142857144,0.15000000000000002,
8,14.162 15.888 26.406 52.162,0,0,0,0,3.000 5.410 492.083 1052.139,0,0,19.040 19.040 21.147 32.220,0.200 0.880 45.960 85.430,0,0,1604,True,29.976037273520454,0.6605747767857143,76.59986788451273,0.675,16.0,0.3606557377049181,120.0,38.58092804501092,0.546875,0.8214285714285714,0.3683035714285714,0.30000000000000004,
9,14.162 15.888 26.406 52.162,0,0,0,0,3.000 5.410 492.083 1052.139,0,0,19.040 19.040 21.147 32.220,0.200 0.880 45.960 85.430,0,0,1604,True,29.976037273520454,0.6605747767857143,76.59986788451273,0.675,16.0,0.3606557377049181,120.0,38.58092804501092,0.546875,0.8214285714285714,0.3683035714285714,0.30000000000000004,
