,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,5.383 8.426 28.818 66.176,0,0,31.336 103.208 1281.822 1485.920,0,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,634,True,53.03393315311112,0.7265624999999999,114.8998018267691,0.7083333333333334,24.0,0.4147157190635452,120.0,44.64859755686996,0.71875,0.6964285714285714,0.4151785714285714,0.0,
1,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,5.383 8.426 28.818 66.176,0,0,31.336 103.208 1281.822 1485.920,0,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,634,True,53.03393315311112,0.7265624999999999,114.8998018267691,0.7083333333333334,24.0,0.4147157190635452,120.0,44.64859755686996,0.71875,0.6964285714285714,0.4151785714285714,0.0,
2,4.084 38.536 43.129 61.335,0,0,0,0,10.985 285.316 329.129 1587.503,0,0.134 0.158 1.169 1.178,19.040 22.685 28.489 28.647,0,0,0,1210,True,29.425711104323852,0.7198660714285714,76.59986788451273,0.675,16.0,0.323699421965318,120.0,50.80125946357683,0.9375,0.375,0.3125,0.0,
3,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,5.383 8.426 28.818 66.176,0,0,31.336 103.208 1281.822 1485.920,0.322 0.954 1.186 1.792,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
4,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,5.383 8.426 28.818 66.176,0,0,31.336 103.208 1281.822 1485.920,0.322 0.954 1.186 1.792,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
5,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,5.383 8.426 28.818 66.176,0,0,31.336 103.208 1281.822 1485.920,0.322 0.954 1.186 1.792,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
6,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,5.383 8.426 28.818 66.176,0,0,31.336 103.208 1281.822 1485.920,0.322 0.954 1.186 1.792,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
7,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,0,0,0,0,0.322 0.954 1.186 1.792,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,720,True,40.51227476494082,0.6413225446428572,95.74983485564091,0.6333333333333333,20.0,0.27472527472527464,120.0,53.85454816658276,0.546875,0.7321428571428571,0.2790178571428572,0.0,
8,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,0,0,0,0,0.322 0.954 1.186 1.792,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,720,True,40.51227476494082,0.6413225446428572,95.74983485564091,0.6333333333333333,20.0,0.27472527472527464,120.0,53.85454816658276,0.546875,0.7321428571428571,0.2790178571428572,0.0,
9,4.084 38.536 43.129 61.335,13.445 20.253 21.834 24.164,0,0,0,0,0.322 0.954 1.186 1.792,0.134 0.158 1.169 1.190,14.968 21.760 28.442 28.628,0,0,0,720,True,40.51227476494082,0.6413225446428572,95.74983485564091,0.6333333333333333,20.0,0.27472527472527464,120.0,53.85454816658276,0.546875,0.7321428571428571,0.2790178571428572,0.0,
