,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,11.884 16.536 53.875 53.937,4.177 10.089 23.652 24.878,5.678 12.534 22.197 23.824,0,0,73.015 480.742 948.044 1158.235,0,0.152 0.553 1.183 1.420,14.968 21.760 28.296 28.628,0,0,0,634,True,53.03393315311112,0.7265624999999999,114.8998018267691,0.7083333333333334,24.0,0.4147157190635452,120.0,44.64859755686996,0.71875,0.6964285714285714,0.4151785714285714,0.0,
1,11.884 16.536 53.875 53.937,4.177 10.089 23.652 24.878,5.678 12.534 22.197 23.824,0,0,73.015 480.742 948.044 1158.235,0,0.152 0.553 1.183 1.420,14.968 21.760 28.296 28.628,0,0,0,634,True,53.03393315311112,0.7265624999999999,114.8998018267691,0.7083333333333334,24.0,0.4147157190635452,120.0,44.64859755686996,0.71875,0.6964285714285714,0.4151785714285714,0.0,
2,11.884 16.536 53.875 53.937,4.177 10.089 23.652 24.878,5.678 12.534 22.197 23.824,0,0,73.015 480.742 948.044 1158.235,0.692 0.891 1.186 1.783,0.152 0.553 1.183 1.420,14.968 21.760 28.296 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
3,11.884 16.536 53.875 53.937,4.177 10.089 23.652 24.878,5.678 12.534 22.197 23.824,0,0,73.015 480.742 948.044 1158.235,0.692 0.891 1.186 1.783,0.152 0.553 1.183 1.420,14.968 21.760 28.296 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
4,11.884 16.536 53.875 53.937,4.177 10.089 23.652 24.878,5.678 12.534 22.197 23.824,0,0,73.015 480.742 948.044 1158.235,0.692 0.891 1.186 1.783,0.152 0.553 1.183 1.420,14.968 21.760 28.296 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
5,11.884 16.536 53.875 53.937,4.177 10.089 23.652 24.878,5.678 12.534 22.197 23.824,0,0,73.015 480.742 948.044 1158.235,0.692 0.891 1.186 1.783,0.152 0.553 1.183 1.420,14.968 21.760 28.296 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
6,11.884 16.536 53.875 53.937,4.177 10.089 23.652 24.878,5.678 12.534 22.197 23.824,0,0,73.015 480.742 948.044 1158.235,0.692 0.891 1.186 1.783,0.152 0.553 1.183 1.420,14.968 21.760 28.296 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
7,9.895 14.091 32.829 42.840,0,0,0,0,22.485 609.156 844.409 1027.715,0.016 0.138 0.187 0.198,0,19.040 20.757 27.764 32.220,0,0,0,1657,True,29.362462301613935,0.662109375,76.59986788451273,0.6333333333333333,16.0,0.27631578947368424,120.0,52.43349204015212,0.53125,0.75,0.28125,0.0,
8,11.884 16.536 53.875 53.937,0,0,0,0,3.000 149.018 720.135 1075.000,0.020 0.446 0.457 0.586,0,19.040 19.123 22.486 29.230,0,0,0,1691,True,29.067815703789382,0.6743861607142858,76.59986788451273,0.6083333333333333,16.0,0.24920127795527144,120.0,60.75618253308914,0.296875,0.9642857142857143,0.2611607142857144,0.05,
9,0,0,0,0,0,22.485 609.156 844.409 1027.715,0.016 0.138 0.187 0.198,0,17.494 20.757 27.764 38.282,0,0,0,1322,True,18.8583894032304,0.5643136160714286,57.44990091338455,0.6,12.0,0.17995444191343954,120.0,56.19058541824643,0.765625,0.4107142857142857,0.1763392857142856,0.0,
10,0,0,0,0,0,22.485 609.156 844.409 1027.715,0.016 0.138 0.187 0.198,0,17.494 20.757 27.764 38.282,0,0,0,1322,True,18.8583894032304,0.5643136160714286,57.44990091338455,0.6,12.0,0.17995444191343954,120.0,56.19058541824643,0.765625,0.4107142857142857,0.1763392857142856,0.0,
11,0,0,0,0,0,22.485 609.156 844.409 1027.715,0.016 0.138 0.187 0.198,0,17.494 20.757 27.764 38.282,0,0,0,1322,True,18.8583894032304,0.5643136160714286,57.44990091338455,0.6,12.0,0.17995444191343954,120.0,56.19058541824643,0.765625,0.4107142857142857,0.1763392857142856,0.0,
12,0,0,0,0,0,22.485 609.156 844.409 1027.715,0.016 0.138 0.187 0.198,0,17.494 20.757 27.764 38.282,0,0,0,1322,True,18.8583894032304,0.5643136160714286,57.44990091338455,0.6,12.0,0.17995444191343954,120.0,56.19058541824643,0.765625,0.4107142857142857,0.1763392857142856,0.0,
13,11.884 16.536 53.875 53.937,0,0,0,0,133.475 186.133 327.494 1422.588,0.105 0.729 0.806 1.391,0,13.064 13.211 14.162 24.998,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
14,11.884 16.536 53.875 53.937,0,0,0,0,133.475 186.133 327.494 1422.588,0.105 0.729 0.806 1.391,0,13.064 13.211 14.162 24.998,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
15,11.884 16.536 53.875 53.937,0,0,0,0,133.475 186.133 327.494 1422.588,0.105 0.729 0.806 1.391,0,13.064 13.211 14.162 24.998,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
16,11.884 16.536 53.875 53.937,0,0,0,0,133.475 186.133 327.494 1422.588,0.105 0.729 0.806 1.391,0,13.064 13.211 14.162 24.998,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
17,11.884 16.536 53.875 53.937,0,0,0,0,133.475 186.133 327.494 1422.588,0.105 0.729 0.806 1.391,0,13.064 13.211 14.162 24.998,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
18,11.884 16.536 53.875 53.937,0,0,0,0,0,0.105 0.729 0.806 1.391,0,19.040 19.040 22.639 32.220,0,0,0,1688,True,18.682898468886076,0.58984375,57.44990091338455,0.5583333333333333,12.0,0.16050686378035908,120.0,61.343835839220446,0.1875,0.9821428571428571,0.1696428571428572,0.05,
