,sample,X_x,Y_x,date_x,taxon,HSI,RSI,X_y,Y_y,date_y,abundance,prediction,observation
0,0,679191,9961529,-100000000000000.0,Baetidae,0.0,1.0,679191,9961529,-100000000000000.0,1,0.0,1
12,1,650382,9814851,-100000000000000.0,Baetidae,0.20849725347218281,1.0,650382,9814851,-100000000000000.0,3,0.20849725347218281,1
24,2,679454,9970238,-100000000000000.0,Baetidae,0.055314648523982476,1.0,679454,9970238,-100000000000000.0,3,0.055314648523982476,1
36,3,698343,9826923,-100000000000000.0,Baetidae,0.0,1.0,698343,9826923,-100000000000000.0,5,0.0,1
48,4,662025,9811606,-100000000000000.0,Baetidae,0.6414479685735044,1.0,662025,9811606,-100000000000000.0,8,0.6414479685735044,1
60,5,679191,9961529,-100000000000000.0,Baetidae,0.0,1.0,679191,9961529,-100000000000000.0,1,0.0,1
72,6,642033,9886348,-100000000000000.0,Baetidae,0.1211701803695769,1.0,642033,9886348,-100000000000000.0,7,0.1211701803695769,1
84,7,685948,9764845,-100000000000000.0,Baetidae,0.0,1.0,685948,9764845,-100000000000000.0,1,0.0,1
96,8,688300,9781411,-100000000000000.0,Baetidae,0.825045236792528,1.0,688300,9781411,-100000000000000.0,4,0.825045236792528,1
108,9,638001,9827048,-100000000000000.0,Baetidae,0.393990057097621,1.0,638001,9827048,-100000000000000.0,1,0.393990057097621,1
120,10,634440,9899731,-100000000000000.0,Baetidae,0.48123225719896845,1.0,634440,9899731,-100000000000000.0,3,0.48123225719896845,1
132,11,705744,9802662,-100000000000000.0,Baetidae,0.0,1.0,705744,9802662,-100000000000000.0,2,0.0,1
144,12,687108,9857931,-100000000000000.0,Baetidae,0.0,1.0,687108,9857931,-100000000000000.0,17,0.0,1
156,13,660135,9951898,-100000000000000.0,Baetidae,0.0,1.0,660135,9951898,-100000000000000.0,1,0.0,1
168,14,638001,9827048,-100000000000000.0,Baetidae,0.393990057097621,1.0,638001,9827048,-100000000000000.0,1,0.393990057097621,1
180,15,675727,9859882,-100000000000000.0,Baetidae,0.5788693237271836,1.0,675727,9859882,-100000000000000.0,1,0.5788693237271836,1
192,16,671143,9840716,-100000000000000.0,Baetidae,0.7429768298492317,1.0,671143,9840716,-100000000000000.0,62,0.7429768298492317,1
204,17,688228,9782851,-100000000000000.0,Baetidae,0.06285682929645653,1.0,688228,9782851,-100000000000000.0,16,0.06285682929645653,1
216,18,652784,9903098,-100000000000000.0,Baetidae,0.9591665248532096,1.0,652784,9903098,-100000000000000.0,15,0.9591665248532096,1
227,19,660727,9947422,-100000000000000.0,Baetidae,1.0,1.0,660727,9947422,-100000000000000.0,1,1.0,1
239,20,703765,9803864,-100000000000000.0,Baetidae,0.09624971306616666,1.0,703765,9803864,-100000000000000.0,2,0.09624971306616666,1
251,21,633405,9898770,-100000000000000.0,Baetidae,1.0,1.0,633405,9898770,-100000000000000.0,1,1.0,1
263,22,612711,9810720,-100000000000000.0,Baetidae,1.0,1.0,612711,9810720,-100000000000000.0,1,1.0,1
274,23,630387,9886688,-100000000000000.0,Baetidae,0.0,1.0,630387,9886688,-100000000000000.0,43,0.0,1
286,24,660135,9951898,-100000000000000.0,Baetidae,0.0,1.0,660135,9951898,-100000000000000.0,1,0.0,1
298,25,682196,9762955,-100000000000000.0,Baetidae,1.0,1.0,682196,9762955,-100000000000000.0,11,1.0,1
310,26,585079,9823896,-100000000000000.0,Baetidae,1.0,1.0,585079,9823896,-100000000000000.0,10,1.0,1
322,27,681018,9957318,-100000000000000.0,Baetidae,0.0,1.0,681018,9957318,-100000000000000.0,3,0.0,1
334,28,645126,9885371,-100000000000000.0,Baetidae,0.0,1.0,645126,9885371,-100000000000000.0,6,0.0,1
346,29,641521,9829716,-100000000000000.0,Baetidae,1.0,1.0,641521,9829716,-100000000000000.0,25,1.0,1
358,30,646789,9911341,-100000000000000.0,Baetidae,0.598790224148306,1.0,646789,9911341,-100000000000000.0,10,0.598790224148306,1
370,31,638001,9827048,-100000000000000.0,Baetidae,0.393990057097621,1.0,638001,9827048,-100000000000000.0,1,0.393990057097621,1
382,32,630387,9886688,-100000000000000.0,Baetidae,0.0,1.0,630387,9886688,-100000000000000.0,43,0.0,1
